Fred Astaire
Lauren Bacall
Brigitte Bardot
John Belushi
Ingmar Bergman
Ingrid Bergman
Humphrey Bogart
Marlon Brando
Richard Burton
James Cagney
Gary Cooper
Bette Davis
Doris Day
Olivia de Havilland
James Dean
Georges Delerue
Marlene Dietrich
Kirk Douglas
Federico Fellini
Henry Fonda
Joan Fontaine
Clark Gable
Judy Garland
John Gielgud
Jerry Goldsmith
Cary Grant
Alec Guinness
Rita Hayworth
Margaux Hemingway
Audrey Hepburn
Katharine Hepburn
Charlton Heston
Alfred Hitchcock
William Holden
James Horner
Buster Keaton
Gene Kelly
Grace Kelly
Deborah Kerr
Stanley Kubrick
Akira Kurosawa
Alan Ladd
Veronica Lake
Burt Lancaster
Bruce Lee
Vivien Leigh
Sophia Loren
Peter Lorre
Henry Mancini
Groucho Marx
James Mason
Marcello Mastroianni
Robert Mitchum
Marilyn Monroe
Alfred Newman
Paul Newman
David Niven
Maureen O'Hara
Laurence Olivier
Gregory Peck
Tyrone Power
Elvis Presley
Anthony Quinn
Edward G. Robinson
Nino Rota
Jane Russell
Miklós Rózsa
Randolph Scott
Frank Sinatra
Max Steiner
James Stewart
Elizabeth Taylor
Shirley Temple
Gene Tierney
Spencer Tracy
François Truffaut
Franz Waxman
John Wayne
Raquel Welch
Orson Welles
Natalie Wood
Victor Young
Alan Miller
Li Gong
Henner Hofmann
Louis de Funès
Elena Koreneva
Aleksey Korenev
Richard Paul
Armin Mueller-Stahl
Gérard Pirès
John Cleese
Brad Pitt
J. Reifel
Woody Allen
Gillian Anderson
Pamela Anderson
Jennifer Aniston
Patricia Arquette
Rowan Atkinson
Dan Aykroyd
Kevin Bacon
Fairuza Balk
Antonio Banderas
Adrienne Barbeau
Drew Barrymore
Kim Basinger
Luc Besson
Yasmine Bleeth
Kenneth Branagh
Matthew Broderick
Pierce Brosnan
Sandra Bullock
Steve Buscemi
Nicolas Cage
James Cameron
Neve Campbell
John Carpenter
Tia Carrere
Jim Carrey
Phoebe Cates
Charles Chaplin
George Clooney
Jennifer Connelly
Sean Connery
Kevin Costner
Wes Craven
Russell Crowe
Tom Cruise
Jamie Lee Curtis
John Cusack
Claire Danes
Geena Davis
Robert De Niro
John Denver
Johnny Depp
Bo Derek
Leonardo DiCaprio
Cameron Diaz
Michael Douglas
David Duchovny
Clint Eastwood
Erika Eleniak
Cary Elwes
Sherilyn Fenn
Ralph Fiennes
Colin Firth
Harrison Ford
Jodie Foster
Michael J. Fox
Morgan Freeman
