47145: Roane, Tennessee
6115: Yuba, California
31131: Otoe, Nebraska
8009: Baca, Colorado
53041: Lewis, Washington
21151: Madison, Kentucky
42001: Adams, Pennsylvania
13017: Ben Hill, Georgia
20141: Osborne, Kansas
38101: Ward, North Dakota
8103: Rio Blanco, Colorado
2020: Anchorage, Alaska
46105: Perkins, South Dakota
17059: Gallatin, Illinois
29137: Monroe, Missouri
41061: Union, Oregon
47041: Dekalb, Tennessee
48303: Lubbock, Texas
27079: Le Sueur, Minnesota
27087: Mahnomen, Minnesota
18083: Knox, Indiana
13281: Towns, Georgia
6009: Calaveras, California
56011: Crook, Wyoming
25023: Plymouth, Massachusetts
29111: Lewis, Missouri
45063: Lexington, South Carolina
47179: Washington, Tennessee
55023: Crawford, Wisconsin
8079: Mineral, Colorado
19077: Guthrie, Iowa
37123: Montgomery, North Carolina
18017: Cass, Indiana
17065: Hamilton, Illinois
28105: Oktibbeha, Mississippi
47125: Montgomery, Tennessee
25027: Worcester, Massachusetts
35011: De Baca, New Mexico
16085: Valley, Idaho
48007: Aransas, Texas
19129: Mills, Iowa
54095: Tyler, West Virginia
51540: Charlottesville City, Virginia
28019: Choctaw, Mississippi
42119: Union, Pennsylvania
18007: Benton, Indiana
49017: Garfield, Utah
38005: Benson, North Dakota
13025: Brantley, Georgia
16019: Bonneville, Idaho
53077: Yakima, Washington
19153: Polk, Iowa
55125: Vilas, Wisconsin
48439: Tarrant, Texas
17039: Dewitt, Illinois
36035: Fulton, New York
42031: Clarion, Pennsylvania
56015: Goshen, Wyoming
37043: Clay, North Carolina
27121: Pope, Minnesota
28117: Prentiss, Mississippi
29087: Holt, Missouri
29089: Howard, Missouri
1085: Lowndes, Alabama
8023: Costilla, Colorado
17163: St Clair, Illinois
13027: Brooks, Georgia
23009: Hancock, Maine
17151: Pope, Illinois
26039: Crawford, Michigan
29045: Clark, Missouri
19075: Grundy, Iowa
5053: Grant, Arkansas
48497: Wise, Texas
31055: Douglas, Nebraska
37009: Ashe, North Carolina
46025: Clark, South Dakota
8053: Hinsdale, Colorado
48429: Stephens, Texas
6015: Del Norte, California
30001: Beaverhead, Montana
